age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
38,entrepreneur,married,secondary,no,3249,yes,no,unknown,2,jun,384,1,-1,0,unknown,no
35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
30,entrepreneur,married,primary,no,501,yes,yes,cellular,6,may,323,2,-1,0,unknown,no
50,self-employed,married,secondary,no,0,yes,no,telephone,12,may,352,2,175,11,other,no
37,management,married,tertiary,no,223,no,no,unknown,18,jun,24,10,-1,0,unknown,no
32,services,married,secondary,no,1066,yes,no,unknown,19,may,180,9,-1,0,unknown,no
36,management,single,secondary,no,360,yes,no,unknown,20,may,271,1,-1,0,unknown,no
55,self-employed,married,secondary,no,2408,no,no,telephone,9,apr,327,2,140,1,failure,no
26,blue-collar,married,secondary,no,1128,yes,yes,unknown,27,jun,111,3,-1,0,unknown,no
34,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
51,self-employed,divorced,secondary,no,7848,no,no,cellular,18,nov,59,1,-1,0,unknown,no
39,blue-collar,married,secondary,yes,-345,yes,no,unknown,7,may,69,1,-1,0,unknown,no
52,services,divorced,secondary,no,765,yes,no,unknown,20,jun,27,3,-1,0,unknown,no
46,services,married,primary,no,13118,no,no,cellular,5,aug,414,2,-1,0,unknown,no
43,management,married,secondary,no,392,no,no,unknown,17,jun,332,5,-1,0,unknown,no
35,management,married,tertiary,no,520,yes,no,cellular,4,may,458,3,17,5,failure,yes
34,technician,married,secondary,no,657,no,no,cellular,5,jun,263,2,-1,0,unknown,no
38,management,married,tertiary,no,0,no,no,cellular,26,aug,101,4,-1,0,unknown,no
54,technician,divorced,secondary,no,0,yes,no,cellular,28,jan,87,2,-1,0,unknown,no
56,management,divorced,tertiary,no,-676,yes,yes,unknown,27,may,181,1,-1,0,unknown,no
27,technician,married,secondary,no,616,yes,no,cellular,5,feb,263,1,-1,0,unknown,no
31,technician,single,secondary,no,304,no,no,cellular,29,jan,293,2,160,2,other,no
34,management,married,tertiary,no,303,yes,no,cellular,29,jan,50,1,195,2,failure,no
29,blue-collar,married,secondary,no,47,yes,yes,cellular,15,may,245,1,-1,0,unknown,no
46,admin,divorced,secondary,no,3201,yes,no,telephone,13,may,157,3,-1,0,unknown,no
44,blue-collar,married,primary,no,279,yes,no,cellular,17,apr,85,1,339,6,other,no
33,technician,married,secondary,no,3470,no,no,cellular,11,aug,285,2,-1,0,unknown,no
36,services,divorced,secondary,no,1594,no,no,unknown,6,jun,250,3,-1,0,unknown,no
31,management,single,secondary,no,2,no,no,cellular,22,aug,65,4,-1,0,unknown,no
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,1,-1,0,unknown,yes
37,management,married,tertiary,no,287,yes,no,cellular,25,jul,94,2,-1,0,unknown,no
55,technician,married,primary,no,938,no,yes,cellular,19,nov,742,1,-1,0,unknown,no
45,services,married,secondary,no,350,yes,yes,unknown,13,may,146,1,-1,0,unknown,no
49,admin,divorced,secondary,no,2169,yes,no,unknown,30,jun,54,3,-1,0,unknown,no
53,retired,married,secondary,no,1296,yes,no,unknown,17,jun,115,1,-1,0,unknown,no
52,blue-collar,married,primary,no,2488,no,no,cellular,13,aug,176,2,-1,0,unknown,no
53,blue-collar,married,primary,no,634,yes,no,unknown,16,may,475,2,-1,0,unknown,no
36,technician,married,tertiary,no,421,yes,no,cellular,13,may,793,5,-1,0,unknown,no
55,entrepreneur,married,primary,no,38,no,yes,unknown,19,jun,63,1,-1,0,unknown,no
50,blue-collar,divorced,secondary,no,571,yes,no,unknown,2,jun,88,4,-1,0,unknown,no
56,admin,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
32,management,single,tertiary,no,-252,yes,no,cellular,15,may,250,1,-1,0,unknown,no
41,management,married,tertiary,no,254,no,no,cellular,9,jun,183,2,294,2,failure,yes
56,blue-collar,married,primary,no,0,no,no,cellular,7,aug,152,6,-1,0,unknown,no
29,technician,single,tertiary,no,542,yes,no,unknown,9,may,338,3,-1,0,unknown,no
32,unemployed,single,secondary,no,5670,no,no,cellular,4,feb,326,1,-1,0,unknown,no
31,self-employed,married,tertiary,no,2666,no,no,telephone,8,jul,411,2,148,9,other,yes
38,admin,single,secondary,no,100,yes,no,unknown,7,may,786,1,-1,0,unknown,yes
36,technician,single,secondary,no,1102,no,no,telephone,6,feb,236,4,-1,0,unknown,no
32,management,single,tertiary,no,0,no,no,cellular,8,aug,282,4,-1,0,unknown,no
41,management,married,tertiary,no,6563,no,no,cellular,27,aug,136,8,-1,0,unknown,no
52,management,divorced,tertiary,no,0,yes,yes,cellular,30,jul,278,3,-1,0,unknown,no
51,admin,divorced,tertiary,no,178,yes,no,cellular,4,feb,184,2,-1,0,unknown,no
29,self-employed,single,secondary,no,272,yes,no,unknown,16,may,123,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
42,management,married,tertiary,no,365,yes,no,unknown,19,may,49,2,-1,0,unknown,no
27,services,single,tertiary,no,128,no,no,cellular,8,apr,83,1,-1,0,unknown,no
50,technician,married,secondary,no,0,yes,no,unknown,2,jun,171,2,-1,0,unknown,no
32,unemployed,single,tertiary,no,5874,no,no,cellular,3,feb,298,1,-1,0,unknown,no
55,management,divorced,tertiary,no,552,no,no,unknown,7,may,241,2,-1,0,unknown,no
39,admin,married,secondary,no,217,yes,no,cellular,8,apr,284,1,308,4,failure,no
59,blue-collar,married,primary,no,229,yes,yes,unknown,7,may,19,1,-1,0,unknown,no
25,admin,single,secondary,no,0,no,yes,cellular,25,jul,49,1,-1,0,unknown,no
36,technician,married,secondary,no,-8,yes,no,unknown,26,may,180,2,-1,0,unknown,no
42,management,married,tertiary,no,976,no,no,cellular,19,aug,164,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,115,yes,yes,unknown,28,may,91,3,-1,0,unknown,no
28,management,single,secondary,no,-513,no,yes,cellular,29,jul,95,8,-1,0,unknown,no
35,services,divorced,tertiary,no,877,yes,no,cellular,15,apr,61,3,-1,0,unknown,no
35,management,married,tertiary,no,2161,no,no,cellular,9,mar,139,2,181,3,success,yes
27,student,single,secondary,no,2245,no,no,cellular,18,jan,163,1,-1,0,unknown,no
35,management,married,tertiary,no,232,yes,yes,cellular,17,apr,249,1,-1,0,unknown,no
61,retired,married,tertiary,no,32685,no,no,cellular,2,mar,1447,2,-1,0,unknown,yes
55,management,single,tertiary,no,115,no,no,unknown,5,may,111,4,-1,0,unknown,no
37,blue-collar,married,primary,no,253,yes,no,cellular,19,nov,59,2,153,2,failure,no
29,admin,single,secondary,no,3528,no,no,cellular,4,may,104,1,208,1,success,no
30,blue-collar,married,secondary,no,554,yes,no,cellular,29,jan,100,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,558,yes,no,telephone,5,feb,708,8,-1,0,unknown,no
34,technician,divorced,secondary,no,558,yes,no,cellular,7,may,130,2,167,5,failure,no
41,technician,married,secondary,no,-366,yes,yes,unknown,6,may,29,3,-1,0,unknown,no
33,unemployed,married,secondary,no,438,yes,yes,unknown,21,may,129,1,-1,0,unknown,no
32,management,single,tertiary,no,3050,yes,no,unknown,23,may,298,1,-1,0,unknown,no
37,technician,single,tertiary,no,197,no,no,cellular,15,feb,531,1,91,2,success,yes
41,management,married,tertiary,no,7028,no,no,cellular,17,nov,98,1,-1,0,unknown,no
43,admin,married,primary,no,392,yes,yes,cellular,4,feb,110,1,208,2,failure,no
68,retired,married,secondary,no,3588,no,no,telephone,3,apr,119,1,-1,0,unknown,no
58,retired,married,primary,no,0,no,no,cellular,11,aug,566,2,-1,0,unknown,no
65,retired,married,primary,no,1343,no,no,telephone,2,feb,468,2,-1,0,unknown,no
46,technician,married,secondary,no,152,no,no,cellular,9,jul,72,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,2848,yes,no,cellular,16,apr,280,2,147,3,failure,no
26,technician,married,secondary,no,47,yes,no,unknown,9,may,282,2,-1,0,unknown,no
26,blue-collar,single,secondary,no,188,yes,yes,cellular,21,jul,46,1,-1,0,unknown,no
38,technician,married,tertiary,no,432,yes,no,cellular,15,may,10,2,373,1,other,no
37,management,married,tertiary,no,4039,no,yes,cellular,25,jul,106,2,-1,0,unknown,no
44,management,married,secondary,no,4425,no,no,cellular,30,jul,477,2,-1,0,unknown,no
52,management,married,tertiary,no,2428,yes,no,cellular,28,jul,61,3,-1,0,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,5,feb,245,2,8,1,other,no
48,technician,married,secondary,no,-205,yes,yes,cellular,9,jul,112,1,-1,0,unknown,no
22,student,single,secondary,no,2139,no,no,cellular,17,mar,133,8,-1,0,unknown,no
29,management,married,tertiary,no,246,yes,no,cellular,29,jan,61,1,265,1,failure,no
29,self-employed,married,tertiary,no,0,yes,yes,cellular,31,jul,46,28,-1,0,unknown,no
59,retired,married,primary,no,1423,yes,no,unknown,15,may,584,2,-1,0,unknown,no
24,unemployed,married,secondary,no,6,no,no,unknown,17,jun,21,1,-1,0,unknown,no
76,retired,divorced,primary,no,2693,no,no,cellular,21,oct,107,2,-1,0,unknown,yes
31,admin,single,secondary,no,33,no,yes,cellular,23,jul,194,1,-1,0,unknown,no
45,blue-collar,single,tertiary,no,-243,no,yes,cellular,8,jul,171,2,-1,0,unknown,no
32,management,single,tertiary,no,12686,yes,no,unknown,3,jun,54,1,-1,0,unknown,no
46,admin,married,secondary,no,31,yes,yes,telephone,28,jul,302,2,-1,0,unknown,no
58,self-employed,married,tertiary,no,0,no,no,cellular,27,aug,16,28,-1,0,unknown,no
47,management,married,tertiary,no,296,yes,no,cellular,8,may,500,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,415,yes,no,cellular,11,may,128,3,-1,0,unknown,no
51,management,married,tertiary,no,2582,no,no,cellular,26,aug,197,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,3186,yes,no,cellular,17,apr,321,2,-1,0,unknown,no
50,self-employed,married,secondary,no,6174,yes,yes,unknown,29,may,456,1,-1,0,unknown,no
44,blue-collar,married,primary,no,4031,yes,no,cellular,7,may,983,4,-1,0,unknown,yes
52,management,married,tertiary,no,19797,yes,no,unknown,2,jun,966,3,-1,0,unknown,no
63,retired,married,secondary,no,588,no,no,cellular,19,oct,143,2,-1,0,unknown,no
33,technician,married,secondary,no,399,yes,no,cellular,7,may,143,1,-1,0,unknown,no
32,blue-collar,single,secondary,no,1211,yes,no,unknown,19,may,206,4,-1,0,unknown,no
44,management,married,tertiary,no,0,no,no,unknown,13,may,27,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,134,no,no,cellular,29,aug,200,7,-1,0,unknown,no
27,blue-collar,married,secondary,no,1600,yes,no,cellular,4,feb,603,2,259,1,failure,no
40,admin,divorced,secondary,no,952,yes,no,cellular,15,may,126,2,333,1,failure,no
35,management,single,tertiary,no,824,yes,no,cellular,16,apr,693,2,-1,0,unknown,no
44,housemaid,married,secondary,no,829,no,no,cellular,28,jul,47,3,-1,0,unknown,no
38,services,married,secondary,no,823,yes,no,unknown,3,jun,132,5,-1,0,unknown,no
27,admin,single,secondary,no,145,no,yes,cellular,7,jul,95,3,-1,0,unknown,no
48,management,single,tertiary,no,1437,yes,yes,unknown,17,jun,34,2,-1,0,unknown,no
48,blue-collar,married,secondary,no,1913,yes,no,unknown,15,may,115,1,-1,0,unknown,no
56,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58,5,-1,0,unknown,no
50,management,married,primary,no,15035,yes,no,cellular,12,may,158,1,-1,0,unknown,no
59,technician,married,secondary,no,259,no,no,cellular,18,mar,224,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,2139,yes,no,cellular,15,may,1452,1,-1,0,unknown,no
48,technician,married,secondary,no,0,no,no,cellular,28,jan,142,1,-1,0,unknown,no
57,services,married,primary,no,443,no,no,telephone,17,jul,167,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,173,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,2146,no,no,cellular,7,jul,206,3,-1,0,unknown,no
42,management,single,tertiary,no,1285,yes,no,cellular,9,feb,21,3,252,4,other,no
44,housemaid,married,secondary,no,281,yes,no,unknown,8,may,604,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-579,yes,yes,unknown,28,may,195,2,-1,0,unknown,no
41,technician,married,secondary,no,3275,yes,no,cellular,18,nov,121,1,168,1,other,no
25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,yes
34,technician,single,secondary,no,1076,no,no,cellular,8,aug,70,2,-1,0,unknown,no
29,management,single,tertiary,no,15459,no,no,cellular,18,feb,264,7,-1,0,unknown,yes
56,blue-collar,married,primary,no,284,no,yes,telephone,3,feb,124,4,204,4,failure,no
45,blue-collar,single,primary,no,116,yes,no,cellular,15,may,16,5,365,1,failure,no
51,management,divorced,tertiary,no,-227,yes,no,cellular,15,may,404,1,-1,0,unknown,no
40,admin,married,primary,no,0,yes,no,unknown,17,jun,77,1,-1,0,unknown,no
29,technician,single,tertiary,no,18254,no,no,cellular,11,may,279,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,854,yes,yes,cellular,29,jan,93,1,-1,0,unknown,no
53,management,married,tertiary,no,210,no,no,cellular,19,aug,96,2,-1,0,unknown,no
31,services,married,secondary,no,78,yes,yes,cellular,14,jul,97,2,-1,0,unknown,no
25,admin,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
36,management,single,tertiary,no,142,yes,no,cellular,25,jul,571,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,3507,yes,no,cellular,8,may,422,2,-1,0,unknown,no
58,blue-collar,married,secondary,no,0,no,yes,cellular,14,apr,101,5,-1,0,unknown,no
32,services,married,secondary,no,1464,yes,no,unknown,3,jun,193,1,-1,0,unknown,no
30,technician,divorced,secondary,no,2262,yes,no,unknown,28,may,102,2,-1,0,unknown,no
37,technician,married,secondary,no,-318,no,no,cellular,20,aug,25,20,-1,0,unknown,no
36,entrepreneur,divorced,tertiary,no,219,no,no,cellular,26,aug,358,4,-1,0,unknown,no
27,admin,single,secondary,no,3776,yes,no,unknown,19,may,217,2,-1,0,unknown,no
50,unemployed,married,secondary,no,1772,no,no,cellular,29,jul,206,4,-1,0,unknown,no
54,admin,married,secondary,no,42,yes,no,unknown,12,may,192,2,-1,0,unknown,no
53,admin,divorced,tertiary,no,0,yes,yes,cellular,12,jan,171,1,64,6,other,no
57,management,married,tertiary,no,1172,no,no,unknown,18,jun,26,1,-1,0,unknown,no
34,unemployed,married,tertiary,no,0,no,no,cellular,8,aug,201,6,-1,0,unknown,no
44,services,married,secondary,no,-1621,yes,yes,unknown,3,jun,171,5,-1,0,unknown,no
28,services,married,primary,no,3,yes,no,cellular,14,may,9,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,298,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,4365,no,yes,cellular,9,feb,45,2,-1,0,unknown,no
39,self-employed,single,tertiary,no,426,no,no,unknown,18,jun,1029,1,-1,0,unknown,yes
32,technician,single,secondary,no,0,yes,yes,unknown,26,may,916,2,-1,0,unknown,no
30,technician,married,secondary,no,173,yes,no,unknown,2,jun,184,3,-1,0,unknown,no
29,admin,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
52,management,divorced,tertiary,no,427,no,yes,telephone,20,nov,36,3,-1,0,unknown,no
32,management,single,secondary,no,301,yes,no,cellular,16,apr,383,3,345,1,failure,no
33,services,married,secondary,no,0,yes,no,unknown,26,may,192,6,-1,0,unknown,no
41,admin,married,secondary,no,-396,yes,no,cellular,7,jul,104,4,-1,0,unknown,no
52,entrepreneur,divorced,secondary,no,-99,no,yes,unknown,26,may,91,3,-1,0,unknown,no
32,blue-collar,single,secondary,no,188,no,yes,cellular,18,jul,144,1,-1,0,unknown,no
33,management,married,tertiary,no,81,yes,no,cellular,22,may,104,1,186,1,failure,no
39,management,married,tertiary,no,1007,yes,no,cellular,7,jul,86,2,-1,0,unknown,no
36,self-employed,married,primary,no,1094,yes,no,cellular,8,apr,291,1,335,1,failure,no
40,management,married,tertiary,no,-65,no,yes,cellular,21,jul,65,2,-1,0,unknown,no
30,admin,married,secondary,no,0,no,no,cellular,15,jul,127,5,-1,0,unknown,no
31,technician,single,tertiary,no,-167,yes,no,unknown,2,jun,41,5,-1,0,unknown,no
38,blue-collar,married,secondary,no,360,yes,no,unknown,14,may,220,2,-1,0,unknown,no
56,housemaid,married,secondary,no,559,no,no,cellular,29,jul,69,5,-1,0,unknown,no
43,retired,married,primary,no,222,no,no,cellular,24,jul,203,2,-1,0,unknown,no
36,entrepreneur,married,tertiary,no,3057,no,no,unknown,16,jun,2769,4,-1,0,unknown,yes
59,admin,married,secondary,no,106,no,no,cellular,22,may,186,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,61,1,-1,0,unknown,no
38,blue-collar,married,primary,no,1807,no,no,unknown,7,may,348,3,-1,0,unknown,no
41,admin,single,secondary,no,2015,yes,no,unknown,29,may,480,10,-1,0,unknown,no
34,blue-collar,married,secondary,no,563,no,yes,cellular,5,feb,384,1,2,2,failure,no
25,entrepreneur,single,tertiary,no,16874,yes,yes,cellular,15,may,117,2,-1,0,unknown,no
33,blue-collar,married,primary,no,245,yes,yes,cellular,8,may,253,3,-1,0,unknown,no
45,admin,divorced,secondary,no,59,yes,no,cellular,24,jul,873,8,-1,0,unknown,yes
37,blue-collar,married,primary,no,250,yes,no,cellular,20,apr,239,3,347,1,failure,no
30,technician,single,tertiary,no,4459,no,no,cellular,11,aug,149,2,-1,0,unknown,no
27,management,married,tertiary,no,1,yes,no,cellular,22,jul,152,1,-1,0,unknown,no
45,services,married,secondary,no,1381,yes,no,unknown,8,may,269,1,-1,0,unknown,no
26,self-employed,single,tertiary,no,1444,no,no,cellular,12,jun,139,5,-1,0,unknown,no
24,student,single,secondary,no,7,yes,no,unknown,30,may,86,3,-1,0,unknown,no
33,management,single,tertiary,no,76,yes,no,unknown,7,may,256,3,-1,0,unknown,no
35,admin,married,secondary,no,404,yes,no,unknown,29,may,539,1,-1,0,unknown,yes
35,management,married,tertiary,no,193,yes,no,cellular,30,apr,565,1,13,1,failure,yes
25,services,single,secondary,no,-141,yes,no,cellular,18,may,113,2,348,2,failure,no
43,technician,married,secondary,no,4945,yes,no,cellular,3,sep,219,3,185,2,success,yes
31,management,single,tertiary,no,12857,yes,no,cellular,6,feb,158,1,92,1,success,yes
38,technician,married,secondary,no,497,no,no,unknown,14,apr,173,1,-1,0,unknown,yes
58,technician,married,tertiary,no,855,yes,no,telephone,18,nov,263,2,-1,0,unknown,no
26,blue-collar,single,secondary,no,311,yes,no,cellular,7,may,798,2,-1,0,unknown,yes
31,services,single,tertiary,no,620,no,no,cellular,2,feb,189,1,-1,0,unknown,no
31,management,married,tertiary,no,1720,yes,yes,cellular,18,jul,104,1,-1,0,unknown,no
40,management,married,tertiary,no,1777,yes,no,cellular,18,nov,81,4,-1,0,unknown,no
50,technician,married,secondary,no,778,no,no,cellular,23,jul,16,1,-1,0,unknown,no
51,admin,married,secondary,no,4178,yes,no,cellular,20,nov,167,4,174,1,failure,no
43,entrepreneur,married,tertiary,no,5506,no,yes,unknown,6,jun,141,1,-1,0,unknown,no
34,blue-collar,married,primary,no,698,yes,no,cellular,4,may,83,5,-1,0,unknown,no
41,blue-collar,married,primary,no,-45,yes,yes,unknown,9,may,121,4,-1,0,unknown,no
26,services,married,secondary,no,-16,yes,no,cellular,24,jul,1036,1,-1,0,unknown,no
27,student,single,tertiary,no,311,no,no,cellular,28,jul,462,1,148,4,success,yes
41,admin,divorced,secondary,no,1076,yes,no,cellular,3,jun,77,2,391,2,other,no
32,services,single,secondary,no,2881,no,no,cellular,2,jul,356,1,-1,0,unknown,yes
38,blue-collar,married,secondary,no,1116,no,no,unknown,9,jun,80,3,-1,0,unknown,no
50,blue-collar,married,primary,no,1617,no,no,cellular,26,aug,55,4,-1,0,unknown,no
32,technician,married,secondary,no,56,yes,no,cellular,8,may,126,1,359,5,other,no
53,management,married,tertiary,no,602,yes,no,cellular,24,jul,58,2,-1,0,unknown,no
40,technician,married,secondary,no,657,yes,no,cellular,19,nov,178,1,112,2,failure,no
23,services,single,secondary,no,-39,yes,yes,unknown,9,may,142,2,-1,0,unknown,no
36,services,married,secondary,no,-302,yes,no,cellular,13,may,36,2,-1,0,unknown,no
66,entrepreneur,married,primary,no,0,no,no,telephone,12,aug,701,1,-1,0,unknown,no
32,management,single,secondary,no,0,yes,no,cellular,17,jul,139,5,-1,0,unknown,no
54,housemaid,married,tertiary,no,440,no,no,cellular,19,nov,89,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,596,yes,no,cellular,18,nov,77,1,127,3,failure,no
33,technician,single,tertiary,no,436,no,no,cellular,28,aug,258,8,-1,0,unknown,no
56,technician,divorced,secondary,no,3450,no,no,cellular,10,aug,507,1,181,2,success,yes
23,self-employed,single,tertiary,no,780,no,no,cellular,16,sep,393,1,183,3,success,yes
32,student,single,tertiary,no,1138,no,no,cellular,4,may,214,3,83,3,success,yes
35,management,single,tertiary,no,2306,no,no,cellular,18,aug,86,7,-1,0,unknown,no
48,blue-collar,married,primary,no,-254,yes,no,cellular,7,may,210,2,346,1,other,no
64,retired,married,tertiary,no,2139,no,no,cellular,13,jan,230,1,91,2,failure,no
60,retired,married,secondary,no,2586,no,no,unknown,6,jun,150,4,-1,0,unknown,no
43,management,married,tertiary,no,13851,yes,no,cellular,21,nov,259,1,-1,0,unknown,no
32,unemployed,single,secondary,no,1249,yes,no,cellular,20,nov,160,1,171,4,other,no
56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
37,management,single,tertiary,no,35,yes,no,cellular,18,jul,34,3,-1,0,unknown,no
32,services,divorced,secondary,no,-115,yes,no,unknown,16,may,134,1,-1,0,unknown,no
31,technician,single,tertiary,no,1887,no,yes,cellular,20,nov,225,2,183,1,failure,no
36,self-employed,single,secondary,no,20451,no,no,cellular,20,nov,69,3,-1,0,unknown,no
28,admin,married,secondary,no,934,yes,no,unknown,4,jul,53,2,-1,0,unknown,no
39,technician,married,secondary,no,381,yes,no,cellular,11,may,758,1,347,2,failure,no
54,technician,divorced,secondary,no,765,yes,yes,cellular,15,jul,812,3,-1,0,unknown,no
55,technician,married,tertiary,no,1320,no,no,cellular,28,jul,340,1,91,2,success,yes
34,blue-collar,married,secondary,yes,-7,yes,no,cellular,22,jul,143,5,-1,0,unknown,no
46,management,divorced,tertiary,no,194,no,no,cellular,28,jan,97,1,-1,0,unknown,no
32,technician,single,secondary,no,14,yes,yes,cellular,16,apr,429,1,-1,0,unknown,no
41,management,married,tertiary,no,6060,yes,no,unknown,15,may,71,2,-1,0,unknown,no
28,management,single,secondary,no,292,yes,yes,telephone,5,feb,39,1,-1,0,unknown,no
60,retired,married,primary,no,-382,yes,no,unknown,26,may,140,2,-1,0,unknown,no
33,unemployed,single,tertiary,no,157,yes,no,unknown,26,may,897,5,-1,0,unknown,no
48,services,married,secondary,no,2409,yes,no,cellular,24,jul,533,2,-1,0,unknown,no
60,retired,single,secondary,no,74,yes,no,telephone,28,jul,29,8,-1,0,unknown,no
48,blue-collar,married,secondary,no,705,no,no,unknown,13,may,108,2,-1,0,unknown,no
60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,3,-1,0,unknown,yes
47,admin,married,secondary,no,707,yes,no,cellular,29,apr,152,3,-1,0,unknown,no
34,management,single,tertiary,no,3821,yes,no,cellular,13,may,649,2,-1,0,unknown,yes
54,retired,married,secondary,no,303,yes,no,cellular,20,apr,240,1,349,2,failure,no
23,blue-collar,single,primary,yes,-627,yes,yes,unknown,27,may,115,1,-1,0,unknown,no
37,technician,married,secondary,no,729,no,no,cellular,28,aug,156,8,-1,0,unknown,no
40,services,married,primary,no,33,no,no,unknown,26,may,70,3,-1,0,unknown,no
32,services,married,secondary,no,183,yes,no,cellular,9,feb,17,10,-1,0,unknown,no
34,management,married,tertiary,no,775,yes,no,cellular,25,jul,210,2,-1,0,unknown,no
50,entrepreneur,married,primary,no,1327,no,yes,cellular,24,jul,325,1,-1,0,unknown,no
41,management,married,tertiary,no,0,yes,no,cellular,18,nov,897,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,0,yes,no,unknown,21,may,521,3,-1,0,unknown,yes
41,services,married,secondary,no,841,yes,no,cellular,7,jul,250,2,-1,0,unknown,no
56,blue-collar,married,primary,no,1137,no,no,telephone,12,oct,99,3,102,1,success,no
30,entrepreneur,married,tertiary,no,5,no,no,cellular,11,aug,126,2,-1,0,unknown,no
58,retired,married,tertiary,no,-607,no,yes,cellular,28,jan,145,1,-1,0,unknown,no
34,technician,single,tertiary,no,-552,yes,no,cellular,27,aug,312,12,-1,0,unknown,no
27,services,married,secondary,no,94,yes,no,unknown,15,may,352,2,-1,0,unknown,no
46,self-employed,married,tertiary,no,8,no,no,cellular,13,oct,182,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,476,yes,no,unknown,13,may,473,1,-1,0,unknown,no
33,blue-collar,married,primary,no,716,yes,no,unknown,7,may,83,3,-1,0,unknown,no
71,retired,married,secondary,no,1696,no,no,cellular,6,oct,486,1,-1,0,unknown,yes
33,management,married,tertiary,yes,-148,yes,yes,cellular,19,nov,340,2,-1,0,unknown,no
33,blue-collar,married,primary,no,331,yes,no,cellular,9,apr,435,2,314,3,failure,no
51,technician,single,tertiary,no,11222,yes,no,cellular,21,nov,126,2,171,7,failure,no
43,blue-collar,married,secondary,no,1109,yes,no,unknown,14,may,160,2,-1,0,unknown,no
29,admin,single,secondary,no,124,no,no,cellular,2,feb,94,1,5,2,other,no
36,management,married,tertiary,no,502,yes,no,unknown,21,may,509,1,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,865,no,no,cellular,21,nov,170,2,-1,0,unknown,no
41,technician,married,secondary,no,0,no,no,unknown,20,jun,267,2,-1,0,unknown,no
38,services,married,secondary,no,309,no,no,unknown,12,jun,160,2,-1,0,unknown,no
60,retired,single,secondary,no,1625,no,no,unknown,12,jun,119,1,-1,0,unknown,no
59,blue-collar,married,primary,no,0,no,no,cellular,2,feb,173,1,-1,0,unknown,no
48,technician,married,secondary,no,1764,yes,no,unknown,14,may,125,2,-1,0,unknown,no
57,admin,married,secondary,no,407,yes,yes,cellular,15,may,166,3,-1,0,unknown,no
36,management,single,tertiary,no,2685,no,yes,cellular,20,nov,111,2,-1,0,unknown,no
35,services,married,secondary,no,0,no,no,unknown,9,jun,115,4,-1,0,unknown,no
36,management,married,tertiary,no,22,no,no,cellular,2,oct,91,2,-1,0,unknown,no
60,retired,divorced,primary,no,61,yes,no,telephone,23,jul,197,2,-1,0,unknown,no
64,retired,divorced,secondary,no,4833,no,no,cellular,22,apr,247,2,251,1,failure,no
31,management,single,tertiary,no,47,no,no,cellular,22,aug,361,4,-1,0,unknown,no
43,admin,married,secondary,no,817,yes,yes,cellular,21,nov,51,1,-1,0,unknown,no
41,technician,divorced,secondary,no,1499,no,yes,cellular,11,jul,59,2,-1,0,unknown,no
35,management,married,tertiary,no,71,no,yes,cellular,26,aug,78,4,-1,0,unknown,no
60,retired,divorced,secondary,no,1099,no,no,cellular,11,jul,764,2,-1,0,unknown,yes
41,management,married,tertiary,no,832,yes,yes,cellular,21,nov,164,1,176,1,failure,no
35,technician,married,secondary,no,-116,no,yes,cellular,6,aug,339,2,-1,0,unknown,no
44,entrepreneur,married,tertiary,no,0,yes,no,unknown,9,jul,300,1,-1,0,unknown,no
